顧客ID,年齢層,居住地,年収,投資経験,リードソース,Webサイト閲覧深度,セミナー参加,問い合わせからの経過日数,投資目的,希望投資額,検討の時期,過去の接触回数,最終接触からの経過日数,高関心ページ閲覧フラグ,質問レベル,紹介フラグ,アンケート回答フラグ,既存賃貸物件所有フラグ,成約フラグ
A1,50代以上,東京都内,500万~800万,経験あり,紹介,5,0,130,資産形成,2000万~3000万,1年以内,10,59,1,基本,0,0,1,1
A2,40代,東京都内,500万~800万,経験なし,広告,4,0,14,資産形成,3000万~5000万,未定/情報収集,3,5,1,詳細,0,0,0,0
A3,30代,東京都内,1200万~2000万,経験なし,Web資料請求,4,1,44,家賃収入,5000万~,半年以内,4,19,0,基本,0,0,0,1
A4,50代以上,東京都内,800万~1200万,経験あり,Web資料請求,3,0,31,資産形成,2000万~3000万,3ヶ月以内,6,16,0,詳細,0,0,1,1
A5,40代,その他地方,500万~800万,経験あり,Web資料請求,4,0,87,税金対策,5000万~,未定/情報収集,10,4,0,普通,0,0,1,0
A6,50代以上,関東近郊,1200万~2000万,経験あり,セミナー,4,0,24,資産形成,3000万~5000万,未定/情報収集,6,24,0,普通,0,1,0,0
A7,50代以上,東京都内,500万~800万,経験あり,紹介,1,0,13,資産形成,5000万~,3ヶ月以内,2,2,1,普通,0,0,0,1
A8,20代,関東近郊,~500万,経験あり,広告,5,1,112,年金対策,2000万~3000万,3ヶ月以内,7,25,1,普通,0,1,0,1
A9,20代,東京都内,800万~1200万,経験なし,広告,1,0,134,資産形成,3000万~5000万,半年以内,7,58,0,基本,0,1,0,0
A10,50代以上,関東近郊,800万~1200万,経験なし,Web資料請求,4,0,6,資産形成,3000万~5000万,1年以内,4,6,0,普通,0,0,0,0
A11,30代,その他地方,1200万~2000万,経験なし,セミナー,3,0,114,税金対策,3000万~5000万,半年以内,5,4,1,詳細,0,0,0,0
A12,40代,東京都内,1200万~2000万,経験なし,セミナー,3,0,144,税金対策,~2000万,未定/情報収集,6,89,0,基本,1,1,0,1
A13,20代,東京都内,500万~800万,経験なし,セミナー,2,1,172,家賃収入,3000万~5000万,未定/情報収集,9,76,0,基本,0,0,0,0
A14,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,4,0,66,税金対策,2000万~3000万,1年以内,4,57,0,普通,1,1,0,1
A15,50代以上,その他地方,1200万~2000万,経験あり,Web資料請求,1,1,115,資産形成,~2000万,1年以内,5,47,0,基本,0,1,0,0
A16,40代,関東近郊,1200万~2000万,経験あり,Web資料請求,5,1,125,税金対策,3000万~5000万,3ヶ月以内,4,36,0,普通,1,1,0,1
A17,50代以上,東京都内,800万~1200万,経験なし,Web資料請求,4,0,15,資産形成,2000万~3000万,未定/情報収集,5,3,1,普通,0,0,0,0
